Al_concentration,OH_concentration,Al_ppm
0.05,2.35,80.23
0.05,4.02,80.07
0.05,8.1,79.24
0.05,9.8,78.67
0.05,9.12,78.96
0.05,11.16,78.11
0.05,11.84,77.8
0.05,13.17,77.03
0.05,13.88,76.67
0.05,14.86,76.06
0.05,15.92,75.12
0.05,16.92,74.36
0.1,1.58,80.31
0.1,3.02,80.21
0.1,4.56,80.07
0.1,6.06,79.76
0.1,8.91,78.98
0.1,7.55,79.43
0.1,10.68,78.37
0.1,13.61,76.77
0.1,15.05,75.73
0.1,16.86,74.2
0.1,17.84,73.05
0.396,1.52,80.21
0.396,3.02,80.12
0.396,4.45,79.93
0.396,7.51,79.41
0.396,8.95,79.15
0.396,10.45,78.74
0.396,11.19,78.32
0.396,13.53,77.73
0.396,15.07,76.86
0.396,16.46,76.57
0.396,18.02,74.57
0.8,1.5,80.33
0.8,4.5,80.14
0.8,7.53,79.55
0.8,9.01,79.47
0.8,10.49,79.17
0.8,12.07,78.84
0.8,13.53,79
0.8,15.17,78.67
0.8,16.75,78.1
1.2,3.02,80.28
1.2,4.81,79.93
1.2,5.99,79.88
1.2,7.53,79.88
1.2,8.95,80.13
1.2,10.51,80.27
1.2,11.99,79.56
1.2,12.59,79.71
1.2,13.53,79.96
1.2,15.03,79.68
1.2,16.57,79.44
2,3.02,80.21
2,4.64,80.14
2,5.99,80.02
2,7.39,79.83
2,8.78,80.02
2,10.43,79.83
2,11.78,79.49
2,13.3,79.52
2,14.55,79.61
3,4.79,79.95
3,5.97,79.88
3,7.55,79.9
3,8.95,80.13
3,10.51,80.3
3,11.99,79.56
3,12.59,79.71
